93;Biscoito ADRIA Tortinhas Recheado Black de Baunilha;Grama;11811;0.13;1;493;67;7;22;0.03;3;1.53;153
94;Biscoito ADRIA Tortinhas Recheado de Cappuccino;Grama;11811;0.13;1;493;67;6;23;0.03;3;3;300
95;Bebida a Base de Soja PURITY Laranja;Grama;11811;0.01;1;55;13;1;0;0;0;0;0
96;Biscoito ADRIA Tortinhas Recheado de Chocolate;Grama;11811;0.13;1;493;67;5;22;0.02;2;2.6;260
97;Bebida a Base de Soja PURITY Maçã;Grama;11811;0.01;1;55;13;1;0;0;0;0.15;15
98;Biscoito ADRIA Tortinhas Recheado de Chocolate Branco;Grama;11811;0.13;1;490;70;5;21;0.02;2;2.6;260
99;Bebida a Base de Soja PURITY Original;Grama;11811;0.01;1;40;3;3;2;0;0;0.43;43
100;Biscoito ADRIA Tortinhas Recheado de Chocolate e Cereja;Grama;11811;0.13;1;493;67;7;22;0.02;2;2.6;260
101;Bebida a Base de Soja PURITY Pêssego;Grama;11811;0.01;1;45;10;1;0;0;0;0;0
102;Bebida a Base de Soja PURITY Uva;Grama;11811;0.01;1;55;13;1;0;0;0;0;0
103;Biscoito ADRIA Tortinhas Recheado de Coco;Grama;11811;0.13;1;490;67;4;22;0.03;3;2.63;263
104;Bebida a Base de Soja SHEFA Frutas Tropicais;Grama;11811;0.01;1;50;12;1;0;0;0;0.07;7
105;Biscoito ADRIA Tortinhas Recheado de Limão;Grama;11811;0.13;1;490;67;7;21;0.03;3;2.23;223
106;Bebida a Base de Soja SHEFA Frutas Vermelhas;Grama;11811;0.01;1;50;12;1;0;0;0;0.07;7
107;Biscoito ADRIA Tortinhas Recheado de Morango;Grama;11811;0.13;1;500;67;6;23;0.03;3;2.47;247
108;Bebida a Base de Soja SHEFA Laranja com Pêssego;Grama;11811;0.01;1;55;13;1;0;0;0;0;0
109;Biscoito Água Light PIRAQUÊ;Grama;11811;0.4;1;425;70;10;11;0.05;5;9.25;925
110;Bebida a Base de Soja SHEFA Maçã;Grama;11811;0.01;1;50;12;1;0;0;0;0.07;7
111;Biscoito Alemão Sabor Chocolate com Avelã Diet SCHNEEKOPPE;Grama;11811;0.03;1;1288;15;0;53;0;0;0;0
112;Biscoito Amanteigado;Grama;11811;0.01;1;458;71;6;17;0;0;0;0
113;Bebida a Base de Soja SHEFA Pêra;Grama;11811;0.01;1;50;12;1;0;0;0;0.07;7
114;Bebida a Base de Soja SHEFA Uva;Grama;11811;0.01;1;55;13;1;0;0;0;0;0
115;Biscoito Aveia e Mel Diet KOBBER;Grama;11811;0.01;1;110;18;2;5;0.02;2;0.25;25
116;Bebida a Base de Soja SPLITZ Frutas Tropicais;Grama;11811;0.01;1;50;12;1;0;0;0;0.07;7
117;Biscoito BAUDUCCO Água e Gergelim;Grama;11811;0.2;1;460;67;10;17;0.03;3;11;1100
118;Bebida a Base de Soja SPLITZ Laranja com Pêssego;Grama;11811;0.01;1;55;13;1;0;0;0;0;0
119;Biscoito BAUDUCCO Água e Sal;Grama;11811;0.03;1;265;65;10;15;0.03;3;3;300
120;Bebida a Base de Soja SPLITZ Maçã;Grama;11811;0.01;1;50;12;1;0;0;0;0.07;7
121;Biscoito BAUDUCCO Amanteigado Banana e Canela;Grama;11811;0.2;1;487;70;7;20;0.03;3;2.3;230
122;Bebida a Base de Soja SPLITZ Maracujá;Grama;11811;0.01;1;55;12;1;0;0;0;0;0
123;Bebida a Base de Soja SPLITZ Pêra;Grama;11811;0.01;1;50;12;1;0;0;0;0.07;7
124;Bebida a Base de Soja SPLITZ Frutas Vermelhas;Grama;11811;0.01;1;50;12;1;0;0;0;0.07;7
125;Biscoito BAUDUCCO Amanteigado Chocolate;Grama;11811;0.2;1;477;67;7;20;0.03;3;2;200
126;Bebida a Base de Soja SPLITZ Original;Grama;11811;0.01;1;40;5;3;2;0;0;0.23;23
127;Bebida a Base de Soja TONYU Abacaxi;Grama;11811;0.01;1;65;13;2;1;0;0;0.15;15
128;Biscoito BAUDUCCO Amanteigado Coco;Grama;11811;0.2;1;497;70;7;21;0;0;2.97;297
129;Biscoito BAUDUCCO Amanteigado Leite;Grama;11811;0.2;1;487;67;10;20;0;0;2.8;280
130;Bebida a Base de Soja TONYU Laranja e Mamão;Grama;11811;0.01;1;60;11;2;1;0;0;0.03;3
131;Biscoito BAUDUCCO Amanteigado Leite com Chocolate;Grama;11811;0.2;1;477;67;7;20;0.03;3;2.8;280
132;Bebida a Base de Soja TONYU Maçã;Grama;11811;0.01;1;60;12;2;1;0;0;0.15;15
133;Bebida a Base de Soja TONYU Maracujá;Grama;11811;0.01;1;60;12;2;1;0;0;0.15;15
134;Bebida a Base de Soja TONYU Morango;Grama;11811;0.01;1;60;11;2;1;0;0;0.15;15
135;Bebida Light à Base de Soja PURITY;Grama;11811;0.01;1;30;1;3;2;0;0;0.43;43
136;Bebida Light à Base de Soja PURITY Sabor Uva;Grama;11811;0.01;1;15;3;1;0;0;0;0.43;43
137;Bebida Light à Base Soja SPLITZ Original;Grama;11811;0.01;1;23;1;3;2;0;0;0.61;61
138;Biscoito BAUDUCCO Champanhe com Açúcar Cristal;Grama;11811;0.12;1;397;87;7;2;0;0;1.7;170
139;Biscoito BAUDUCCO Champanhe com Açúcar Fino;Grama;11811;0.1;1;397;87;7;2;0;0;1.7;170
140;Biscoito BAUDUCCO Cream Cracker;Grama;11811;0.22;1;433;67;9;15;0.03;3;3;300
141;Biscoito BAUDUCCO Integral com Gergelim;Grama;11811;0.22;1;433;67;9;15;0.03;3;3;300
142;Aguardente;Grama;11811;0;1;231;0;0;0;0;0;0;0
143;Bloody Mary (bebída alcoólica);Grama;11811;0;1;7700;315;540;0;0;0;0;0
144;Bourbon e Soda (bebída alcoólica);Grama;11811;0;1;92;0;0;0;0;0;0;0
