"64004014";0;"Unidade Pequena";266.3
"64004015";0;"Colher de Arroz";100
"64004015";0;"Escumadeira";100
"64004015";0;"Fatia";65
"64004015";0;"Grama";1
"64004015";1;"Pedaço";65
"64004015";0;"Pegador";42
"64004015";0;"Porção";150
"64004015";0;"Quilo";1000
"64004015";0;"Rodela";65
"64004015";0;"Unidade";355
"64004015";0;"Unidade Pequena";266.3
"64004017";0;"Grama";1
"64004017";0;"Quilo";1000
"64004017";1;"Unidade";355
"640040113";1;"Colher de Arroz";100
"640040113";0;"Grama";1
"640040113";0;"Quilo";1000
"6400401";0;"Grama";1
"6400401";1;"Pedaço";70
"6400401";0;"Quilo";1000
"64005011";0;"Escumadeira";110
"64005011";0;"Grama";1
"64005011";0;"Porção";126
"64005011";0;"Quilo";1000
"64005011";1;"Rodela";30
"64005011";0;"Unidade";125
"64005012";0;"Colher de Arroz";62
"64005012";0;"Colher de Sopa";35
"64005012";0;"Concha";110
"64005012";0;"Escumadeira";110
"64005012";0;"Fatia";60
"64005012";0;"Grama";1
"64005012";0;"Pedaço";60
"64005012";0;"Porção";126
"64005012";0;"Prato de Sobremesa";62
"64005012";0;"Prato Fundo";186
"64005012";0;"Prato Raso";62
"64005012";0;"Quilo";1000
"64005012";1;"Rodela";30
"64005012";0;"Unidade";125
"64005014";0;"Grama";1
"64005014";1;"Pedaço";60
"64005014";0;"Quilo";1000
"64005015";0;"Grama";1
"64005015";1;"Pedaço";60
"64005015";0;"Quilo";1000
"64005017";1;"Colher de Sopa";35
"64005017";0;"Concha";110
"64005017";0;"Grama";1
"64005017";0;"Quilo";1000
"640050113";1;"Colher de Arroz";62
"640050113";0;"Colher de Sopa";35
"640050113";0;"Concha";110
"640050113";0;"Grama";1
"640050113";0;"Pedaço";60
"640050113";0;"Porção";126
"640050113";0;"Quilo";1000
"640050115";0;"Colher de Sopa";20
"640050115";1;"Concha";130
"640050115";0;"Grama";1
"640050115";0;"Quilo";1000
"6400508";0;"Grama";1
"6400508";1;"Pedaço";100
"6400508";0;"Quilo";1000
"64006011";0;"Grama";1
"64006011";1;"Pedaço";100
"64006011";0;"Quilo";1000
"64006012";0;"Colher de Arroz";60
"64006012";0;"Colher de Sopa";30
"64006012";0;"Concha";120
"64006012";0;"Escumadeira";60
"64006012";0;"Fatia";100
"64006012";0;"Grama";1
"64006012";1;"Pedaço";100
"64006012";0;"Pegador";30
"64006012";0;"Porção";128
"64006012";0;"Quilo";1000
"64006014";0;"Grama";1
"64006014";1;"Pedaço";100
"64006014";0;"Quilo";1000
"64006015";0;"Bola";45
"64006015";0;"Colher de Arroz";60
"64006015";0;"Colher de Sopa";35
"64006015";0;"Concha";95
"64006015";0;"Fatia";70
"64006015";0;"Grama";1
"64006015";1;"Pedaço";80
"64006015";0;"Porção";80
"64006015";0;"Punhado";45
"64006015";0;"Quilo";1000
"64006017";1;"Colher de Arroz";60
"64006017";0;"Grama";1
"64006017";0;"Porção";128
"64006017";0;"Quilo";1000
"64006018";0;"Colher de Sopa";30
"64006018";0;"Grama";1
"64006018";1;"Pedaço";100
"64006018";0;"Porção";128
"64006018";0;"Quilo";1000
"640060111";1;"Colher de Sopa";35
"640060111";0;"Grama";1
"640060111";0;"Quilo";1000
"640060113";1;"Colher de Arroz";60
"640060113";0;"Colher de Sopa";30
"640060113";0;"Concha";120
"640060113";0;"Escumadeira";60
"640060113";0;"Grama";1
"640060113";0;"Quilo";1000
"640060115";0;"Colher de Arroz";40
"640060115";0;"Colher de Sopa";20
"640060115";1;"Concha";130
"640060115";0;"Grama";1
"640060115";0;"Prato Fundo";520
"640060115";0;"Quilo";1000
"640060115";0;"Tigela";300
"6400601";0;"Colher de Arroz";60
"6400601";0;"Grama";1
"6400601";1;"Pedaço";100
"6400601";0;"Quilo";1000
"64006092";0;"Colher de Arroz";60
"64006092";0;"Colher de Sobremesa";15
"64006092";0;"Colher de Sopa";30
"64006092";0;"Concha";120
"64006092";0;"Escumadeira";60
"64006092";0;"Fatia";100
"64006092";0;"Grama";1
"64006092";1;"Pedaço";100
"64006092";0;"Porção";128
"64006092";0;"Quilo";1000
"64006092";0;"Rodela";50
"64006094";1;"Colher de Arroz";60
"64006094";0;"Grama";1
"64006094";0;"Quilo";1000
"64006095";0;"Colher de Arroz";60
"64006095";0;"Fatia";70
"64006095";0;"Grama";1
"64006095";1;"Pedaço";80
"64006095";0;"Pegador";35
"64006095";0;"Porção";80
"64006095";0;"Punhado";45
"64006095";0;"Quilo";1000
"64006096";0;"Grama";1
"64006096";1;"Pedaço";80
"64006096";0;"Quilo";1000
"64006097";0;"Grama";1
"64006097";1;"Pedaço";100
"64006097";0;"Quilo";1000
"64006098";0;"Grama";1
"64006098";1;"Pedaço";100
"64006098";0;"Quilo";1000
"640060911";1;"Colher de Sopa";35
"640060911";0;"Grama";1
"640060911";0;"Quilo";1000
"640060913";0;"Colher de Sobremesa";15
"640060913";0;"Colher de Sopa";30
"640060913";0;"Grama";1
"640060913";1;"Pedaço";100
"640060913";0;"Quilo";1000
"640060915";1;"Concha";130
"640060915";0;"Grama";1
"640060915";0;"Quilo";1000
"6400609";1;"Colher de Arroz";60
"6400609";0;"Grama";1
"6400609";0;"Quilo";1000
"64006101";0;"Grama";1
"64006101";1;"Pedaço";100
"64006101";0;"Quilo";1000
"64006102";0;"Colher de Arroz";60
"64006102";0;"Colher de Sopa";30
"64006102";0;"Fatia";100
"64006102";0;"Grama";1
"64006102";1;"Pedaço";100
"64006102";0;"Porção";128
"64006102";0;"Quilo";1000
"64006102";0;"Rodela";50
"64006104";0;"Grama";1
"64006104";1;"Pedaço";100
"64006104";0;"Porção";128
"64006104";0;"Quilo";1000
"64006105";0;"Fatia";70
